hit_id,x,y,z,volume_id,layer_id,module_id
1,-24.229,-20.8122,-468.496,8,2,2
2,31.6729,6.16991,-466.77,8,2,9
3,3.77507,31.2764,-374.1,8,2,28
4,-2.39461,32.4684,-387.427,8,2,29
5,-9.98408,29.8148,-391.952,8,2,29
6,-15.971,27.8893,-398,8,2,30
7,-31.2497,4.24846,-394.351,8,2,32
8,-32.9665,-2.47005,-330.453,8,2,33
9,17.1878,-27.4663,-325.146,8,2,38
10,26.3154,18.4764,-331.08,8,2,42
11,3.83758,31.7688,-300.098,8,2,44
12,-31.7498,4.17428,-321.618,8,2,48
13,-31.7732,3.7591,-318.996,8,2,48
14,-18.9772,-25.7545,-232.049,8,2,51
15,-19.886,-25.3165,-228.921,8,2,51
16,16.3346,27.0279,-238.309,8,2,59
17,3.79396,31.2753,-262.976,8,2,60
18,-6.50117,31.0326,-230.1,8,2,61
19,-26.7814,-17.9546,-177.402,8,2,66
20,-24.2501,-20.7886,-191.662,8,2,66
21,-16.7255,-27.3891,-164.028,8,2,67
22,-18.0006,-26.7747,-171.857,8,2,67
23,10.1389,-30.2852,-180.864,8,2,69
24,5.21947,-32.0052,-159.77,8,2,69
25,16.2228,-28.3283,-183.536,8,2,70
26,24.5608,20.4408,-159.306,8,2,74
27,20.6597,25.4933,-162.9,8,2,75
28,-6.97229,-31.096,-114.742,8,2,84
29,7.67381,-30.6226,-89.795,8,2,85
30,5.13892,-31.5089,-122.071,8,2,85
31,24.1811,20.1226,-122.972,8,2,90
32,-6.51788,31.0267,-111.373,8,2,93
33,-6.03261,31.1964,-105.78,8,2,93
34,-32.0527,-5.08371,-38.4229,8,2,97
35,-28.2517,-16.3085,-21.5844,8,2,98
36,-26.8915,-17.8314,-23.0023,8,2,98
37,-17.4226,-27.0532,-33.3043,8,2,99
38,-15.051,-28.196,-47.0114,8,2,99
39,-4.92345,-31.7075,-33.0985,8,2,100
40,-9.5471,-31.4467,-48.1107,8,2,100
41,18.5609,-26.2399,-39.288,8,2,102
42,26.3166,-18.9511,-38.8675,8,2,103
43,28.4826,-14.4563,-39.9197,8,2,103
44,31.2526,-12.9879,-70.9156,8,2,104
45,31.5708,-7.3469,-7.57813,8,2,104
