hit_id,particle_id,tx,ty,tz,tpx,tpy,tpz
1,1099511627776,-21.6306,-23.7213,-479.854,-21.6306,-23.7213,-479.854
2,4947802324992,31.7408,5.97572,-487.122,31.7408,5.97572,-487.122
3,3298534883328,1.33999,31.4138,-361.537,1.33999,31.4138,-361.537
4,3298534883328,1.4428,33.8101,-388.135,1.4428,33.8101,-388.135
5,3573412790272,-13.8054,28.4788,-397.127,-13.8054,28.4788,-397.127
6,3573412790272,-14.2601,29.4175,-409.793,-14.2601,29.4175,-409.793
7,1030792151040,-31.3352,2.73328,-401.845,-31.3352,2.73328,-401.845
8,4810363371520,-34.316,1.38982,-344.797,-34.316,1.38982,-344.797
9,4879082848256,16.4069,-28.1639,-335.004,16.4069,-28.1639,-335.004
10,2542620639232,25.8275,19.0226,-345.653,25.8275,19.0226,-345.653
11,5016521801728,1.50661,31.9002,-283.924,1.50661,31.9002,-283.924
12,3917010173952,-31.8637,2.15505,-326.79,-31.8637,2.15505,-326.79
13,4810363371520,-31.9124,1.29193,-321.536,-31.9124,1.29193,-321.536
14,3848290697216,-20.3882,-25.0745,-218.118,-20.3882,-25.0745,-218.118
15,4054449127424,-22.1719,-24.215,-211.934,-22.1719,-24.215,-211.934
16,5291399708672,15.1029,27.6215,-230.58,15.1029,27.6215,-230.58
17,5016521801728,1.48196,31.4057,-279.721,1.48196,31.4057,-279.721
18,1855425871872,-6.69895,30.9634,-214.285,-6.69895,30.9634,-214.285
19,68719476736,-26.7211,-18.0221,-179.078,-26.7211,-18.0221,-179.078
20,4054449127424,-21.6747,-23.6719,-207.466,-21.6747,-23.6719,-207.466
21,893353197568,-15.5099,-27.9749,-152.4,-15.5099,-27.9749,-152.4
22,1374389534720,-18.1527,-26.7014,-163.961,-18.1527,-26.7014,-163.961
23,3710851743744,14.0235,-28.927,-185.97,14.0235,-28.927,-185.97
24,6322191859712,4.08328,-32.4025,-142.346,4.08328,-32.4025,-142.346
25,3710851743744,14.4858,-29.8798,-191.675,14.4858,-29.8798,-191.675
26,824633720832,22.3016,22.97,-143.001,22.3016,22.97,-143.001
27,824633720832,23.4473,24.15,-149.688,23.4473,24.15,-149.688
28,6116033429504,-7.82134,-31.0481,-125.421,-7.82134,-31.0481,-125.421
29,1992864825344,9.17626,-30.0973,-74.2966,9.17626,-30.0973,-74.2966
30,6322191859712,4.01985,-31.9001,-140.337,4.01985,-31.9001,-140.337
31,824633720832,21.9559,22.6139,-140.983,21.9559,22.6139,-140.983
32,2130303778816,-6.87831,30.9007,-117.304,-6.87831,30.9007,-117.304
33,6390911336448,-5.79961,31.2779,-106.65,-5.79961,31.2779,-106.65
34,2405181685760,-32.497,-3.81302,-42.0251,-32.497,-3.81302,-42.0251
35,1443109011456,-29.6404,-14.7538,-8.14354,-29.6404,-14.7538,-8.14354
36,5153960755200,-27.0763,-17.6245,-11.013,-27.0763,-17.6245,-11.013
37,3779571220480,-16.8975,-27.3063,-31.5208,-16.8975,-27.3063,-31.5208
38,5703716569088,-12.1631,-29.5877,-58.8625,-12.1631,-29.5877,-58.8625
39,0,-3.5291,-31.7862,-31.1112,-3.5291,-31.7862,-31.1112
40,5703716569088,-12.8504,-31.2603,-61.4677,-12.8504,-31.2603,-61.4677
41,6253472382976,19.236,-25.6368,-43.488,19.236,-25.6368,-43.488
42,2954937499648,25.789,-20.046,-42.9906,25.789,-20.046,-42.9906
43,6528350289920,30.1706,-10.9534,-44.7455,30.1706,-10.9534,-44.7455
44,1236950581248,31.4593,-9.32331,-26.9414,31.4593,-9.32331,-26.9414
45,5428838662144,31.9373,-0.849824,-15.2446,31.9373,-0.849824,-15.2446
46,5634997092352,32.0723,1.54425,-11.6291,32.0723,1.54425,-11.6291
47,6459630813184,31.4163,-10.0855,-15.5305,31.4163,-10.0855,-15.5305
48,6528350289920,31.3434,-11.3789,-45.9873,31.3434,-11.3789,-45.9873
49,1649267441664,30.647,9.10417,-38.5227,30.647,9.10417,-38.5227
50,5428838662144,34.1477,-0.908292,-15.4143,34.1477,-0.908292,-15.4143
51,5634997092352,33.27,1.60213,-11.5857,33.27,1.60213,-11.5857
52,6597069766656,29.2545,13.0868,-55.3137,29.2545,13.0868,-55.3137
53,1580547964928,22.9142,22.2842,-21.8578,22.9142,22.2842,-21.8578
54,6597069766656,30.5942,13.686,-57.2603,30.5942,13.686,-57.2603
55,1580547964928,24.3733,23.7038,-22.4351,24.3733,23.7038,-22.4351
56,4466765987840,15.5862,27.9381,-50.588,15.5862,27.9381,-50.588
57,5978594476032,16.862,27.3234,-27.6701,16.862,27.3234,-27.6701
58,618475290624,-13.2304,29.2043,-33.1732,-13.2304,29.2043,-33.1732
59,1786706395136,-7.73038,31.1273,-51.0217,-7.73038,31.1273,-51.0217
60,2336462209024,-4.07586,32.405,-48.1641,-4.07586,32.405,-48.1641
61,3023656976384,-4.20349,32.3604,-9.78413,-4.20349,32.3604,-9.78413
62,3161095929856,-13.4741,29.1191,-34.397,-13.4741,29.1191,-34.397
63,618475290624,-13.8096,30.4838,-34.066,-13.8096,30.4838,-34.066
64,2680059592704,-21.0868,23.9837,-52.7754,-21.0868,23.9837,-52.7754
65,3161095929856,-14.0189,30.2968,-35.2708,-14.0189,30.2968,-35.2708
66,3985729650688,-15.0882,29.3417,-5.16938,-15.0882,29.3417,-5.16938
67,4535485464576,-21.3877,23.715,-19.7542,-21.3877,23.715,-19.7542
